date,clicks,impressions,ctr,position
2026-08-22,1,55,0.018182,22.6
2026-08-23,1,91,0.010989,10.703
2026-08-24,2,85,0.023529,10.8
2026-08-25,0,91,0,13.484
2026-08-26,2,129,0.015504,22.744
2026-08-27,0,92,0,15.543
2026-08-28,0,58,0,20.655
2026-08-29,2,92,0.021739,17.598
2026-08-30,1,83,0.012048,14.952
2026-08-31,1,77,0.012987,13.987
2026-09-01,2,89,0.022472,21.461
2026-09-02,1,79,0.012658,12.481
2026-09-03,0,80,0,16.725
2026-09-04,0,70,0,18.114
2026-09-05,0,66,0,23.212
2026-09-06,0,91,0,12.802
2026-09-07,1,207,0.004831,8.966
2026-09-08,1,233,0.004292,9.107
2026-09-09,0,227,0,9.718
2026-09-10,0,151,0,9.629
2026-09-11,0,55,0,12.018
2026-09-12,0,51,0,19.549
2026-09-13,1,96,0.010417,11.104
2026-09-14,1,118,0.008475,11.297
2026-09-15,1,75,0.013333,18.427
2026-09-16,0,70,0,12.257
2026-09-17,0,79,0,14.076
2026-09-18,2,67,0.029851,15.582
