date,clicks,impressions,ctr,position
2026-04-17,1,219,0.004566,4.068
2026-04-18,0,139,0,6.54
2026-04-19,1,85,0.011765,9.035
2026-04-20,1,133,0.007519,7.737
2026-04-21,0,138,0,9.797
2026-04-22,1,86,0.011628,10.581
2026-04-23,0,102,0,9.833
2026-04-24,0,96,0,10.49
2026-04-25,1,365,0.00274,7.025
2026-04-26,2,287,0.006969,9.523
2026-04-27,2,200,0.01,9.67
2026-04-28,1,355,0.002817,8.876
2026-04-29,7,405,0.017284,8.002
2026-04-30,9,315,0.028571,7.302
2026-05-01,4,354,0.011299,8.232
2026-05-02,2,240,0.008333,9.067
2026-05-03,3,346,0.008671,7.994
2026-05-04,6,391,0.015345,6.997
2026-05-05,2,379,0.005277,7.145
2026-05-06,0,367,0,8.548
2026-05-07,8,515,0.015534,7.454
2026-05-08,6,395,0.01519,8.78
2026-05-09,1,275,0.003636,8.556
2026-05-10,4,412,0.009709,7.985
2026-05-11,7,336,0.020833,9.167
2026-05-12,7,360,0.019444,9.025
2026-05-13,3,354,0.008475,8.627
2026-05-14,5,500,0.01,8.832
